sym,dgp_seed,model,horizon,refit_idx,alpha,log10_alpha
.SPX,42,DGP,1,-1,1.7782794100389228,0.25
.SPX,42,oracle,1,-1,56.23413251903491,1.75
.SPX,42,SAS_same_cvλ,1,0,10.0,1.0
.SPX,42,SAS_same_cvλ,1,1,5.623413251903491,0.75
.SPX,42,SAS_same_cvλ,1,2,5.623413251903491,0.75
.SPX,42,SAS_same_cvλ,1,3,5.623413251903491,0.75
.SPX,42,SAS_same_cvλ,1,4,5.623413251903491,0.75
.SPX,42,SAS_diff,1,0,1.0,0.0
.SPX,42,SAS_diff,1,1,1.7782794100389228,0.25
.SPX,42,SAS_diff,1,2,1.7782794100389228,0.25
.SPX,42,SAS_diff,1,3,1.0,0.0
.SPX,42,SAS_diff,1,4,1.0,0.0
.SPX,42,SAS_q1,1,0,0.31622776601683794,-0.5
.SPX,42,SAS_q1,1,1,0.1778279410038923,-0.75
.SPX,42,SAS_q1,1,2,0.31622776601683794,-0.5
.SPX,42,SAS_q1,1,3,0.1778279410038923,-0.75
.SPX,42,SAS_q1,1,4,0.1778279410038923,-0.75
.SPX,137,DGP,1,-1,1.7782794100389228,0.25
.SPX,137,oracle,1,-1,0.0031622776601683794,-2.5
.SPX,137,SAS_same_cvλ,1,0,3.1622776601683795,0.5
.SPX,137,SAS_same_cvλ,1,1,5.623413251903491,0.75
.SPX,137,SAS_same_cvλ,1,2,10.0,1.0
.SPX,137,SAS_same_cvλ,1,3,5.623413251903491,0.75
.SPX,137,SAS_same_cvλ,1,4,5.623413251903491,0.75
.SPX,137,SAS_diff,1,0,0.03162277660168379,-1.5
.SPX,137,SAS_diff,1,1,0.03162277660168379,-1.5
.SPX,137,SAS_diff,1,2,0.05623413251903491,-1.25
.SPX,137,SAS_diff,1,3,0.05623413251903491,-1.25
.SPX,137,SAS_diff,1,4,0.05623413251903491,-1.25
.SPX,137,SAS_q1,1,0,0.001,-3.0
.SPX,137,SAS_q1,1,1,0.00031622776601683794,-3.5
.SPX,137,SAS_q1,1,2,0.1,-1.0
.SPX,137,SAS_q1,1,3,0.1778279410038923,-0.75
.SPX,137,SAS_q1,1,4,0.1,-1.0
.SPX,256,DGP,1,-1,3.1622776601683795,0.5
.SPX,256,oracle,1,-1,0.0001,-4.0
.SPX,256,SAS_same_cvλ,1,0,1.7782794100389228,0.25
.SPX,256,SAS_same_cvλ,1,1,5.623413251903491,0.75
.SPX,256,SAS_same_cvλ,1,2,100.0,2.0
.SPX,256,SAS_same_cvλ,1,3,31.622776601683793,1.5
.SPX,256,SAS_same_cvλ,1,4,17.78279410038923,1.25
.SPX,256,SAS_diff,1,0,1.0,0.0
.SPX,256,SAS_diff,1,1,1.7782794100389228,0.25
.SPX,256,SAS_diff,1,2,5.623413251903491,0.75
.SPX,256,SAS_diff,1,3,5.623413251903491,0.75
.SPX,256,SAS_diff,1,4,5.623413251903491,0.75
.SPX,256,SAS_q1,1,0,0.0001,-4.0
.SPX,256,SAS_q1,1,1,0.001,-3.0
.SPX,256,SAS_q1,1,2,10.0,1.0
.SPX,256,SAS_q1,1,3,5.623413251903491,0.75
.SPX,256,SAS_q1,1,4,1.7782794100389228,0.25
